User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
abhinay09_,0.14,0.27,0.02,0.08,0.37,0.67,0.22,0.69,0.52,0.65
Additop78Arya_,1,0.87,0.06,0.11,0.55,0.98,0.46,0.51,0.17,0.16
airshod_,0.39,0.44,0.63,0.39,0.46,0.86,0.47,0.77,0.41,0.84
Austin0731_,0.12,0.29,0.09,0.19,0.22,0.87,0.88,0.91,0.58,0.92
BobHartshorn_,0.62,0.87,0.16,0.22,0.88,0.13,0.14,0.31,0.59,0.46
CalRhys_,0.68,0.77,0.07,0.61,0.36,0.24,0.33,0.51,0.59,0.24
CorraoRyan_,0.28,0.23,0.36,0.27,0.15,0.46,0.01,0.38,0.19,0.51
CosminAgafitei_,0,0.26,0.04,0.11,0.01,0.36,0.31,0.59,0.69,0.78
CraigsCritique_,0.87,0.76,0.19,0.56,0.48,0.52,0.42,0.65,0.24,0.26
dilsonbelper_,0.13,0.11,0.25,0.14,0.19,0.89,0.36,0.8,0.37,0.91
Dr_Carl_Sagan_,0.86,0.61,0.33,0.42,0.63,0.78,0.55,0.43,0.14,0.32
EthanThoren_,0.76,0.76,0.19,0.43,0.63,0.25,0.24,0.28,0.46,0.47
GalibRushdy_,0.3,0.35,0.05,0.23,0.3,0.92,0.6,0.44,0.64,0.83
garethvk_,0.5,0.27,0.31,0.09,0.45,0.65,0.16,0.81,0.3,0.55
gbkimberley_,0.36,0.36,0.95,0.21,0.61,0.14,0.13,0.28,0.35,0.47
gruncle11_,0.45,0.36,0.08,0.26,0.69,0.58,0.57,0.52,0.41,0.39
GuruEden_,0.87,0.81,0.46,0.5,0.73,0.17,0.13,0.16,0.25,0.29
hammadrocks1_,0.1,0.33,0.19,0.32,0.26,0.59,0.95,0.46,0.43,0.83
jacob___peled_,0.19,0.49,0.23,0.25,0.45,0.7,0.74,0.66,0.45,0.86
joeovip_,0.31,0.7,0.36,0.2,0.49,0.4,0.31,0.27,0.46,0.61
KaivalR_,0.18,0.87,0.39,0.59,0.77,0.73,0.61,0.66,0.81,0.49
KaranSwhny_,0.55,0.64,0.21,0.19,0.34,0.98,0.82,0.89,0.61,0.78
kayone111_,0.04,0.24,0.02,0.16,0.09,0.91,0.42,0.75,0.91,0.94
ktmkamran_,0.13,0.9,0.14,0.4,0.83,0.32,0.26,0.73,0.86,0.42
Mauvemage_,0.1,0.14,0.02,0.07,0.48,0.37,0.31,0.65,0.59,0.82
mikenontonmulu_,0.06,0.81,0.07,0.57,0.46,0.42,0.51,0.75,0.99,0.71
NightHunter909_,0.41,0.86,0.12,0.59,0.65,0.4,0.69,0.53,0.86,0.68
NinadMauskar_,0.83,0.54,0.37,0.09,0.51,0.56,0.08,0.43,0.09,0.19
OberratedReview_,0.78,0.91,0.24,0.62,0.74,0.72,0.76,0.82,0.67,0.72
OrgChaosForever_,0.44,0.29,0,0.03,0.59,0.09,0.17,0.6,0.6,0.5
PS4AusGamer_,0.13,0.62,0.26,0.45,0.46,0.87,0.52,0.89,0.79,0.85
PyroSikTh_,0.91,0.14,0.07,0.11,0.23,0.88,0.43,0.83,0.06,0.68
rannynm11_,0.42,0.87,0.11,0.66,0.85,0.06,0.23,0.08,0.81,0.15
raoulgonzo_,0.55,0.63,0.36,0.22,0.64,0.54,0.24,0.47,0.1,0.36
