Benevolence,Univer.,Self-dir,stimul,hedo,achieve,power,security,conformity,tradition,gse,label,big5
1,0.8,0.8,0.9,1,0.9,0.9,0.9,0.8,0.8,per,high,open
0.9,0.933,0.9,0.9,0.7,0.7,0.8,0.9,0.9,0.7,color,med,con
1,0.8,0.8,0.9,1,0.6,0.6,0.8,0.8,0.8,style,low,extra
0.6,0.8,1,1,0.5,0.7,0.1,0.7,0.7,0.9,style,low,neu
0.8,0.8,0.9,1,0.5,0.9,0.4,0.9,0.4,0.8,style,high,neu
1,1,1,0.8,0.7,0.8,0.4,1,1,0.8,per,low,con
0.9,0.733,1,0.8,0.7,0.4,0.2,0.7,0.9,1,style,low,neu
1,1,1,1,1,0.7,0.1,1,1,1,style,low,open
1,1,1,1,1,0.5,0.1,0.8,1,0.7,per,med,neu
0.9,0.667,0.7,1,0.7,0.5,1,0.7,0.4,0.7,style,med,con
1,1,0.9,1,0.9,0.6,0.4,0.8,0.8,0.9,color,low,extra
0.9,1,0.9,0.9,0.9,0.7,0.6,1,0.9,1,style,high,open
0.9,0.933,0.7,0.9,0.9,0.6,0.6,0.9,0.9,0.9,color,low,neu
1,1,1,1,1,0.8,0.6,0.8,0.8,1,per,low,con
0.9,0.933,0.7,0.8,0.5,0.6,0.4,1,0.9,0.9,style,low,neu
1,0.867,0.5,0.3,0.5,0.6,0.3,1,1,1,color,med,open
0.8,0.8,1,1,0.8,1,0.7,0.8,0.6,0.9,color,low,neu
1,1,1,1,0.6,0.9,0,0.8,0.6,1,per,low,extra
1,1,1,1,1,0.9,0,0.8,0.5,0.6,style,med,con
1,1,1,1,1,0.6,0.4,1,1,0.7,color,low,con
0.8,0.733,1,1,1,0.8,0.4,0.8,0,0.1,color,high,open
0.8,0.467,0.8,0.9,0.9,1,0.8,0.8,0.7,0.6,per,low,neu
0.7,0.533,0.7,0.9,0.9,0.9,0.9,0.8,0.7,0.6,style,low,neu
0.7,0.667,0.8,0.5,0.5,0.3,0.3,0.6,0.6,0.7,color,med,neu
0.8,0.867,1,1,0.8,0.8,0.7,0.8,0.6,0.8,color,low,con
1,0.8,0.9,0.6,0.2,0.9,0.6,0.7,0.7,0.6,per,high,con
1,0.867,0.5,0.7,0.8,0.9,0.8,0.9,0.6,0.6,style,low,open
0.9,0.8,0.7,0.9,0.7,0.7,0.5,0.6,0.6,0.8,style,high,extra
0.9,0.6,0.9,0.9,0.5,0.9,0.7,1,0.8,0.7,color,med,neu
1,0.867,0.8,0.8,0.4,0.9,0.8,1,0.7,0.7,color,low,extra
0.7,0.867,0.8,0.9,0.7,0.5,0.5,0.9,0.5,0.7,color,high,open
1,1,0.8,0.6,0.3,1,0.7,0.9,0.6,0.9,per,low,neu
0.9,0.667,0.8,0.7,0.5,0.9,1,0.8,0.6,0.7,style,low,con
1,0.6,0.9,0.4,1,0.8,0.6,0.6,0.5,0.6,style,high,con
0.9,0.667,1,0.9,0.6,0.6,0,0.5,0.9,0.8,style,low,neu
1,0.933,0.7,0.9,1,0.8,0.8,0.9,0.7,1,color,high,open
1,0.667,0.3,0.8,0.6,0.3,0.3,0.7,0.8,0.8,color,med,neu
1,0.733,0.5,0.7,0.8,0.5,0.5,0.7,0.8,0.8,per,low,extra
1,0.933,0.8,0.7,0.9,0.8,0.8,0.9,0.5,0.9,style,high,open
1,0.8,0.8,0.8,1,0.8,0.9,1,0.6,0.7,style,low,neu
1,0.867,1,1,1,0.7,0.5,0.9,0.1,0.9,style,low,con
0.8,0.533,0.9,0.5,0.6,1,0.5,0.8,0.8,0.7,color,high,con
0.4,0.8,0.7,0.6,0.6,0.5,0.3,0.7,0.3,0.3,color,med,open
0.8,0.867,1,0.7,1,0.9,0.6,1,1,1,per,low,neu
0.5,0.933,0.7,0.5,0.7,0.9,0.6,1,0.8,0.9,style,low,neu
1,0.867,0.8,0.9,0.6,0.9,0.8,0.8,0.8,1,style,high,extra
0.9,0.867,0.7,0.6,0.3,0.7,0.4,0.9,1,1,color,low,open
0.6,0.6,0.8,0.6,0.6,0.8,0.7,0.1,0.5,1,color,low,neu
1,1,0.8,1,1,1,0.6,0.9,0.7,0.7,per,high,con
0.9,0.533,0.9,0.5,0.5,0.5,0.2,0.9,0.5,0.8,style,low,con
1,1,0.5,0.3,0.3,0.2,0,1,1,1,color,low,open
1,1,1,0.8,1,1,0.2,1,0.9,1,color,high,neu
1,0.8,0.9,0.6,0.3,0.5,0.3,0.7,0.7,1,style,low,neu
0.9,0.8,0.8,0.8,0.9,0.8,0.6,0.8,0.6,0.7,color,med,open
0.8,0.8,0.9,0.9,0.7,0.4,0.5,0.5,0.6,0.4,color,low,neu
0.9,0.8,1,0.7,0.9,0.8,0.1,1,0.2,0.3,per,high,neu
1,0.933,0.9,1,0.8,0.8,0.8,1,0.8,0.9,style,low,extra
1,0.867,0.5,0.8,0.4,0.6,0.5,0.7,0.5,0.8,color,med,open
0.7,0.667,0.7,0.4,0.6,0.7,0.4,0.6,1,0.7,color,med,neu
1,0.933,0.9,0.5,0.8,0.8,0.7,0.8,1,0.8,style,high,con
0.8,0.733,0.8,0.9,0.7,0.9,0.9,0.9,0.7,0.8,color,low,neu
0.8,0.667,0.9,0.6,0.9,0.8,0.8,0.7,0.3,0.6,color,low,open
0.8,0.867,0.7,0.8,0.7,0.6,0.2,0.9,0.8,0.7,style,high,neu
0.6,0.667,0.4,0.1,0.2,0.6,0.2,0.6,0.5,0.6,color,low,con
0.9,0.8,0.8,0.6,0.6,0.3,0.3,0.5,0.9,0.9,color,low,neu
0.8,0.733,0.8,0.8,0.7,0.8,0.4,0.9,0.8,1,style,med,open
0.9,0.933,0.8,0.9,0.7,0.7,0.6,1,0.8,0.9,color,med,neu
0.9,0.8,0.8,0.9,1,0.9,0.7,0.4,0.6,0.9,color,high,con
0.8,1,0.9,1,0.8,1,0.8,0.7,0.5,0.7,per,low,open
0.9,0.733,0.7,0.9,0.9,0.9,0.9,0.7,0.5,0.5,style,low,neu
0.8,0.933,0.7,1,0.5,0.5,0.5,1,0.1,0.7,style,high,neu
1,0.867,0.9,0.7,1,1,0.6,1,0.9,0.9,color,low,con
